Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
OLB,90,"Smith, Za'Darius",ACT,TCKL,20,1,1,--,BAL
LB,45,"Snyder, Kevin",ACT,TCKL,--,--,--,--,DEN
OLB,50,"Spaight, Martrell",ACT,TCKL,28,0,0,1,WAS
LB,55,"Spence, Sean",ACT,TCKL,54,3,1,--,IND
LB,,"Spikes, Brandon",UFA,TCKL,9,0,0,--,BUF
ILB,51,"Stanford, Julian",ACT,TCKL,22,0,0,--,NYJ
LB,57,"Staples, Justin",ACT,TCKL,1,0,0,--,TEN
ILB,54,"Stupar, Nate",ACT,TCKL,58,1,2,1,NO
OLB,55,"Suggs, Terrell",ACT,TCKL,35,8,3,--,BAL
LB,57,"Talley, David",ACT,TCKL,--,--,--,--,GB
OLB,45,"Taumoepenu, Pita",ACT,TCKL,--,--,--,--,SF
LB,45,"Tautu, Sae",ACT,TCKL,--,--,--,--,NO
LB,51,"Te'o, Manti",ACT,TCKL,17,0,0,--,NO
OLB,55,"Thomas, J.T.",ACT,TCKL,0,--,--,--,NYG
ILB,48,"Thomas, Joe",ACT,TCKL,70,0,0,1,GB
LB,53,"Thompson, Carlos",ACT,TCKL,--,--,--,--,LA
LB,94,"Timmons, Lawrence",ACT,TCKL,114,2.5,1,2,MIA
ILB,53,"Timu, John",ACT,TCKL,19,0,0,--,CHI
ILB,56,"Toomer, Korey",ACT,TCKL,75,1,3,--,LAC
LB,48,"Trail, Lynden",ACT,TCKL,2,0,0,--,WAS
ILB,59,"Trevathan, Danny",ACT,TCKL,66,1,0,--,CHI
OLB,58,"Tripp, Jordan",ACT,TCKL,2,0,0,0,GB
LB,57,"Trusnik, Jason",UFA,TCKL,0,--,--,--,NO
OLB,50,"Tulloch, Stephen",UFA,TCKL,7,0,0,--,PHI
LB,46,"Usher, Nick",ACT,TCKL,--,--,--,--,SEA
LB,51,"Vallejo, Tanner",ACT,TCKL,--,--,--,--,BUF
OLB,53,"Van Noy, Kyle",ACT,TCKL,52,1,1,1,NE
