Pos,Num,Player Name,Status,REC,YDS,AVG,TDS,Team
WR,3,"Harper, Chris",ACT,13,133,10.2,0,NYJ
WR,17,"Harris, Dwayne",ACT,1,13,13,1,NYG
WR,13,"Harris, Maurice",ACT,8,66,8.3,0,WAS
WR,11,"Harvin, Percy",UFA,2,6,3,0,BUF
WR,14,"Hatcher, Keon",ACT,--,--,--,--,OAK
WR,16,"Hawkins, Andrew",ACT,33,324,9.8,3,NE
WR,15,"Hazel, Matt",ACT,--,--,--,--,WAS
WR,11,"Henderson, Carlos",ACT,--,--,--,--,DEN
WR,17,"Hester, Devin",UFA,--,--,--,--,SEA
WR,88,"Heyward-Bey, Darrius",ACT,6,114,19,2,PIT
WR,81,"Higgins, Rashard",ACT,6,77,12.8,0,CLE
WR,18,"Hill, Shaq",ACT,--,--,--,--,HOU
WR,10,"Hill, Tyreek",ACT,61,593,9.7,6,KC
WR,13,"Hilton, T.Y.",ACT,91,"1,448",15.9,6,IND
WR,15,"Hogan, Chris",ACT,38,680,17.9,4,NE
WR,85,"Hogan, Krishawn",ACT,--,--,--,--,ARI
WR,10,"Hollins, Mack",ACT,--,--,--,--,PHI
WR,81,"Hollister, Cody",ACT,--,--,--,--,NE
WR,81,"Holmes, Andre",ACT,14,126,9,3,BUF
WR,16,"Holton, Johnny",ACT,2,34,17,0,OAK
WR,10,"Hopkins, DeAndre",ACT,78,954,12.2,4,HOU
WR,83,"Howard, Bug",ACT,--,--,--,--,IND
WR,81,"Hubert, Chris",ACT,--,--,--,--,ARI
WR,15,"Huff, Josh",ACT,16,113,7.1,1,TB
WR,10,"Humphries, Adam",ACT,55,622,11.3,2,TB
WR,11,"Hunter, Justin",ACT,10,189,18.9,4,PIT
WR,88,"Hurns, Allen",ACT,35,477,13.6,3,JAX
WR,15,"Inman, Dontrelle",ACT,58,810,14,4,LAC
WR,11,"Jackson, DeSean",ACT,56,"1,005",17.9,4,TB
WR,83,"Jackson, Vincent",UFA,15,173,11.5,0,TB
WR,88,"Jacobs, Levern",ACT,--,--,--,--,WAS
WR,83,"Janis, Jeff",ACT,11,93,8.5,1,GB
WR,17,"Jeffery, Alshon",ACT,52,821,15.8,2,PHI
WR,15,"Jennings, Darius",ACT,--,--,--,--,TEN
WR,83,"Johnson, B.J.",ACT,--,--,--,--,SF
WR,12,"Johnson, Charles",ACT,20,232,11.6,0,CAR
WR,82,"Johnson, Keeon",ACT,--,--,--,--,NYG
WR,84,"Johnson, Marcus",ACT,--,--,--,--,PHI
WR,11,"Johnson, Steve",UFA,--,--,--,--,LAC
WR,81,"Jones, Andy",ACT,--,--,--,--,DAL
WR,16,"Jones, Cayleb",ACT,--,--,--,--,MIN
WR,11,"Jones, Zay",ACT,--,--,--,--,BUF
WR,1,"Jones, Jamaal",ACT,--,--,--,--,LAC
WR,11,"Jones, Marvin",ACT,55,930,16.9,4,DET
WR,11,"Jones, Julio",ACT,83,"1,409",17,6,ATL
WR,81,"Jones, Seantavius",ACT,--,--,--,--,KC
WR,13,"Jones, T.J.",ACT,5,93,18.6,0,DET
WR,6,"Jones, Tevin",ACT,--,--,--,--,KC
WR,15,"Kearse, Jermaine",ACT,41,510,12.4,1,SEA
WR,7,"Kemp, Marcus",ACT,--,--,--,--,KC
