Pos,Num,Player Name,Status,Quick Stats,TCKL,SCK,FF,INT,Team
DT,98,"Lotulelei, Star",ACT,TCKL,26,4,1,--,CAR
DE,93,"Love, Kyle",ACT,TCKL,16,1.5,1,--,CAR
DE,94,"Lowry, Dean",ACT,TCKL,8,2,0,--,GB
DT,71,"Lunsford, Izaah",ACT,TCKL,--,--,--,--,GB
DT,67,"Lupeamanu, Tueni",ACT,TCKL,--,--,--,--,JAX
DT,96,"Mabry, Ashaad",ACT,TCKL,--,--,--,--,NO
DE,52,"Mack, Khalil",ACT,TCKL,73,11,5,1,OAK
DE,75,"Malveaux, Cameron",ACT,TCKL,--,--,--,--,MIA
DE,95,"Maponga, Stansly",ACT,TCKL,--,--,--,--,NYG
DE,68,"Marcus, Jamal",ACT,TCKL,--,--,--,--,CLE
DT,99,"Marks, Sen'Derrick",UFA,TCKL,22,3.5,0,--,JAX
DE,91,"Marsh, Cassius",ACT,TCKL,22,3,1,--,SEA
DE,76,"Martin-Oguike, Praise",ACT,TCKL,--,--,--,--,MIA
DT,62,"Mass, Gabriel",ACT,TCKL,--,--,--,--,CAR
DE,90,"Mathews, Ricardo",UFA,TCKL,14,1,0,--,PIT
DT,75,"Maurice, Kevin",ACT,TCKL,--,--,--,--,JAX
DE,97,"Mauro, Josh",ACT,TCKL,32,0,0,--,ARI
DT,95,"Maxey, Johnny",ACT,TCKL,1,0,0,--,PIT
DE,93,"Mayowa, Benson",ACT,TCKL,25,6,1,--,DAL
DT,78,"Mbu, Joey",ACT,TCKL,--,--,--,--,WAS
DE,40,"McCain, Chris",ACT,TCKL,1,0,0,--,LAC
DE,57,"McCalister, Alex",ACT,TCKL,--,--,--,--,PHI
DE,66,"McCaskill, Sam",ACT,TCKL,--,--,--,--,MIN
DT,97,"McClain, Terrell",ACT,TCKL,40,2.5,2,--,WAS
DT,93,"McCoy, Gerald",ACT,TCKL,34,7,2,--,TB
DE,55,"McCray, Lerentee",ACT,TCKL,16,0,1,--,JAX
NT,93,"McCullers-Sanders, Dan",ACT,TCKL,17,1,0,--,PIT
DT,76,"McDaniel, Tony",ACT,TCKL,43,0,0,--,NO
DT,98,"McDonald, Clinton",ACT,TCKL,36,3.5,0,--,TB
DT,94,"McDowell, Malik",ACT,TCKL,--,--,--,--,SEA
DT,92,"McGee, Stacy",ACT,TCKL,17,2.5,2,--,WAS
DT,99,"McGill, T.Y.",ACT,TCKL,6,2,1,--,IND
DE,98,"McKinley, Takkarist",ACT,TCKL,--,--,--,--,ATL
DT,99,"McLendon, Steve",ACT,TCKL,28,3.5,1,--,NYJ
DE,51,"Means, Steven",ACT,TCKL,3,1,1,--,PHI
NT,92,"Mebane, Brandon",ACT,TCKL,21,1,0,1,LAC
DE,98,"Meder, Jamie",ACT,TCKL,48,1,0,--,CLE
DE,96,"Metz, Jake",ACT,TCKL,--,--,--,--,BUF
DE,72,"Miley, Arthur",ACT,TCKL,--,--,--,--,MIA
DT,97,"Miller, Roy",UFA,TCKL,10,0,0,--,JAX
DT,90,"Mitchell, Earl",ACT,TCKL,18,0,0,--,SF
DE,58,"Moore, Damontre",ACT,TCKL,7,0.5,0,--,DAL
DE,77,"Moore, Zach",ACT,TCKL,0,0,0,0,CAR
DE,91,"Moss, Avery",ACT,TCKL,--,--,--,--,NYG
DE,97,"Muhammad, Al-Quadin",ACT,TCKL,--,--,--,--,NO
DE,94,"Nassib, Carl",ACT,TCKL,20,2.5,0,--,CLE
DE,52,"Neal, Lewis",ACT,TCKL,--,--,--,--,DAL
DE,91,"Ngakoue, Yannick",ACT,TCKL,22,8,4,1,JAX
DT,92,"Ngata, Haloti",ACT,TCKL,22,1.5,0,--,DET
DT,90,"Nkemdiche, Robert",ACT,TCKL,1,0,0,--,ARI
DT,99,"Nunez-Roches, Rakeem",ACT,TCKL,23,1,0,--,KC
DE,66,"Nwachukwu, Noble",ACT,TCKL,--,--,--,--,SF
DE,96,"O'Connor, Pat",ACT,TCKL,--,--,--,--,DET
DE,71,"Obada, Efe",ACT,TCKL,--,--,--,--,CAR
DL,60,"Odenigbo, Ifeadi",ACT,TCKL,--,--,--,--,MIN
DE,58,"Odighizuwa, Owa",ACT,TCKL,3,0,0,--,NYG
DE,93,"Odom, Chris",ACT,TCKL,--,--,--,--,ATL
DE,75,"Odrick, Jared",UFA,TCKL,12,1,1,--,JAX
DE,90,"Ogbah, Emmanuel",ACT,TCKL,53,5.5,0,--,CLE
DT,65,"Ogunjobi, Larry",ACT,TCKL,--,--,--,--,CLE
DE,57,"Okafor, Alex",ACT,TCKL,13,3.5,1,--,NO
DE,78,"Okwara, Romeo",ACT,TCKL,25,1,0,--,NYG
DT,93,"Onyemata, David",ACT,TCKL,18,0,0,--,NO
DE,44,"Orchard, Nate",ACT,TCKL,4,0,0,--,CLE
DT,55,"Paea, Stephen",ACT,TCKL,12,0.5,0,--,DAL
DE,95,"Palepoi, Tenny",ACT,TCKL,13,0,0,--,LAC
DE,72,"Panfil, Evan",ACT,TCKL,--,--,--,--,TB
NT,54,"Parry, David",ACT,TCKL,47,3,0,--,IND
DT,94,"Peko, Domata",ACT,TCKL,37,0,0,--,DEN
NT,90,"Peko, Kyle",ACT,TCKL,2,0,0,--,DEN
DE,66,"Pelon, Claude",ACT,TCKL,--,--,--,--,NYJ
DE,98,"Pennel, Mike",ACT,TCKL,7,0,0,--,NYJ
DE,90,"Peppers, Julius",ACT,TCKL,23,7.5,2,--,CAR
NT,98,"Peters, Corey",ACT,TCKL,21,0,0,--,ARI
DE,59,"Phillips, Carroll",ACT,TCKL,--,--,--,--,JAX
DT,97,"Phillips, Jordan",ACT,TCKL,23,0.5,0,1,MIA
DE,93,"Philon, Darius",ACT,TCKL,11,1,0,--,LAC
DE,69,"Philon, Roy",ACT,TCKL,--,--,--,--,PIT
DE,97,"Pierce, Michael",ACT,TCKL,35,2,0,--,BAL
DT,72,"Pierre, Olsen",ACT,TCKL,0,--,--,--,ARI
DE,90,"Pierre-Paul, Jason",ACT,TCKL,53,7,3,--,NYG
DT,73,"Pipkins, Ondre",ACT,TCKL,--,--,--,--,WAS
NT,92,"Poe, Dontari",ACT,TCKL,27,1.5,1,--,ATL
DT,96,"Price, Brian",ACT,TCKL,0,--,--,--,GB
DE,51,"Price, Ejuan",ACT,TCKL,--,--,--,--,LA
NT,71,"Purcell, Mike",ACT,TCKL,26,0,1,--,LA
DT,98,"Qualls, Elijah",ACT,TCKL,--,--,--,--,PHI
DT,98,"Rankins, Sheldon",ACT,TCKL,20,4,1,--,NO
DE,98,"Reader, D.J.",ACT,TCKL,22,1,0,--,HOU
DE,50,"Reed, Brooks",ACT,TCKL,25,2,1,--,ATL
DT,90,"Reed, Jarran",ACT,TCKL,34,1.5,0,--,SEA
DT,91,"Reid, Caraun",ACT,TCKL,5,1,0,--,LAC
DT,98,"Reyes, Kendall",UFA,TCKL,20,1,0,0,KC
DE,91,"Ricard, Patrick",ACT,TCKL,--,--,--,--,BAL
DE,91,"Richardson, Sheldon",ACT,TCKL,62,1.5,1,--,NYJ
DT,91,"Ridgeway, Hassan",ACT,TCKL,21,1.5,0,--,IND
DE,99,"Ringo, Christian",ACT,TCKL,2,0,1,--,GB
DE,95,"Rivers, Derek",ACT,TCKL,--,--,--,--,NE
DE,76,"Robbins, C.J.",ACT,TCKL,--,--,--,--,TEN
DT,91,"Robinson, A'Shawn",ACT,TCKL,30,2,0,--,DET
DE,96,"Robison, Brian",ACT,TCKL,28,7.5,3,--,MIN
DT,98,"Rochell, Isaac",ACT,TCKL,--,--,--,--,LAC
DE,67,"Ross, Daniel",ACT,TCKL,--,--,--,--,HOU
DT,77,"Rubin, Ahtyba",ACT,TCKL,39,1,3,--,SEA
DE,92,"Rucker, Frostee",ACT,TCKL,13,0,1,--,ARI
DE,95,"Russell, Ryan",ACT,TCKL,4,1,0,--,TB
DE,61,"Saint Fleur, Joby",ACT,TCKL,--,--,--,--,MIA
DT,70,"Sayles, Casey",ACT,TCKL,--,--,--,--,LA
DE,69,"Schult, Karter",ACT,TCKL,--,--,--,--,CLE
DE,71,"Schwan, Evan",ACT,TCKL,--,--,--,--,NYG
DE,91,"Seau, Ian",ACT,TCKL,--,--,--,--,BUF
DE,90,"Shelby, Derrick",ACT,TCKL,8,0,0,--,ATL
NT,55,"Shelton, Danny",ACT,TCKL,59,1.5,0,--,CLE
DE,61,"Shittu, Aziz",RES,TCKL,--,--,--,--,PHI
DT,99,"Short, Kawann",ACT,TCKL,55,6,1,--,CAR
DT,96,"Siliga, Sealver",ACT,TCKL,10,1,0,0,TB
DT,93,"Simon, Deon",ACT,TCKL,23,1.5,0,--,NYJ
DE,97,"Sims, Eugene",UFA,TCKL,23,2.5,0,--,LA
DT,92,"Sims, Pat",ACT,TCKL,37,1.5,0,--,CIN
DT,92,"Smart, Tanzel",ACT,TCKL,--,--,--,--,LA
DE,94,"Smith, Antonio",UFA,TCKL,4,0.5,0,--,HOU
DE,94,"Smith, Chris",ACT,TCKL,4,1,0,--,CIN
DT,98,"Smith, Garrison",ACT,TCKL,5,0,0,--,SEA
DE,56,"Smith, Jacquies",ACT,TCKL,0,--,--,--,TB
DE,90,"Smith, Marcus",ACT,TCKL,16,2.5,0,--,PHI
DE,94,"Smoot, Dawuane",ACT,TCKL,--,--,--,--,JAX
DE,90,"Soliai, Paul",UFA,TCKL,8,0,0,--,CAR
DE,67,"Soto, Shakir",ACT,TCKL,--,--,--,--,DEN
DT,97,"Spence, Akeem",ACT,TCKL,19,0.5,0,--,DET
