Pos,Num,Player Name,Status,TCKL,SCK,FF,INT,Team
SS,33,"McCray, Kelcie",UFA,39,0,0,--,SEA
DB,30,"McDonald, Adrian",ACT,--,--,--,--,LAC
CB,23,"McDonald, Dexter",ACT,1,0,0,--,OAK
DB,22,"McDonald, T.J.",ACT,64,1,0,2,MIA
DB,30,"McDougald, Bradley",ACT,91,0,0,2,SEA
CB,23,"McDougle, Dexter",ACT,1,0,0,--,NYJ
DB,23,"McFadden, Leon",ACT,8,0,0,--,DAL
SS,39,"McGill, Keith",ACT,22,0,0,--,OAK
CB,21,"McKelvin, Leodis",UFA,43,0,0,2,PHI
DB,37,"McKinnon, Jeremiah",ACT,--,--,--,--,DAL
FS,23,"McLeod, Rodney",ACT,83,1,1,3,PHI
CB,27,"McManis, Sherrick",ACT,16,0,0,--,CHI
SAF,34,"McQuay, Leon III",ACT,--,--,--,--,KC
CB,29,"McRae, Tony",ACT,--,--,--,--,CIN
DB,5,"McTyer, Torry",ACT,--,--,--,--,MIA
DB,28,"McWilson, Marcus",ACT,--,--,--,--,OAK
DB,36,"Meeks, Jonathan",UFA,16,0,0,--,BUF
SAF,20,"Melifonwu, Obi",ACT,--,--,--,--,OAK
CB,30,"Melvin, Rashaan",ACT,60,0,2,--,IND
DB,36,"Middleton, Doug",ACT,6,0,0,--,NYJ
FS,45,"Miles, Rontez",ACT,57,0,2,--,NYJ
FS,34,"Miller, Harlan",ACT,7,0,0,1,ARI
DB,41,"Milligan, Rolan",ACT,--,--,--,--,DET
CB,31,"Mills, Jalen",ACT,61,0,0,--,PHI
DB,40,"Milton, Chris",ACT,9,0,0,--,IND
CB,28,"Mitchel, Tevin",ACT,--,--,--,--,IND
FS,23,"Mitchell, Mike",ACT,77,0,0,1,PIT
DB,39,"Mitchell, Terrance",ACT,19,0,0,--,KC
SS,43,"Moore, Corey",ACT,32,0,0,--,HOU
DB,48,"Moore, Jordan",ACT,--,--,--,--,ATL
CB,42,"Moore, Kenny",ACT,--,--,--,--,NE
DB,,"Moore, Rahim",UFA,--,--,--,--,NYG
CB,24,"Moore, Sterling",ACT,56,0,0,2,NO
CB,31,"Moreau, Fabian",ACT,--,--,--,--,WAS
DB,35,"Morris, Darryl",ACT,35,0,0,1,IND
CB,41,"Moxey, Jonathan",ACT,--,--,--,--,TB
DB,41,"Munnerlyn, Captain",ACT,55,0,1,--,CAR
DB,36,"Murphy, Ryan",ACT,--,--,--,--,NYG
CB,21,"Murray, Eric",ACT,8,0,0,--,KC
DB,33,"Murray, Najee",ACT,--,--,--,--,CLE
CB,31,"Myrick, Jalen",ACT,--,--,--,--,JAX
DB,43,"Nacua, Kai",ACT,--,--,--,--,CLE
SS,22,"Neal, Keanu",ACT,106,0,5,--,ATL
DB,20,"Neasman, Sharrod",ACT,3,0,0,--,ATL
DB,46,"Nelson, Dontrell",ACT,--,--,--,--,DEN
CB,30,"Nelson, J.R.",ACT,--,--,--,--,KC
FS,27,"Nelson, Reggie",ACT,65,0,0,5,OAK
DB,21,"Nelson, Robert",ACT,20,0,0,1,HOU
CB,20,"Nelson, Steven",ACT,65,0,0,--,KC
CB,23,"Newman, Terence",ACT,38,0,0,1,MIN
SAF,34,"Nicholson, Montae",ACT,--,--,--,--,WAS
CB,43,"Nixon, Taurean",ACT,1,0,0,--,JAX
CB,24,"Norman, Josh",ACT,67,0,2,3,WAS
CB,30,"Olatoye, Deji",ACT,4,0,0,--,ATL
FS,38,"Parker, Ron",ACT,61,0,2,1,KC
DB,34,"Parks, Will",ACT,22,0,0,1,DEN
DB,37,"Patmon, Tyler",ACT,--,--,--,--,JAX
CB,34,"Penton, Aarion",ACT,--,--,--,--,LA
CB,22,"Peters, Marcus",ACT,45,0,1,6,KC
CB,47,"Peterson, Kevin",ACT,--,--,--,--,LA
CB,21,"Peterson, Patrick",ACT,51,0,0,3,ARI
SS,31,"Phillips, Adrian",ACT,38,0,0,1,LAC
DB,35,"Phillips, Dashaun",ACT,9,0,0,--,WAS
CB,41,"Pipkins, Lenzy",ACT,--,--,--,--,GB
DB,40,"Pitts, Lafayette",ACT,3,0,0,--,MIA
DB,35,"Pleasant, Eddie",ACT,20,0,0,--,HOU
CB,34,"Poole, Brian",ACT,59,1,0,1,ATL
CB,21,"Porter, Tracy",UFA,48,0,1,2,CHI
DB,43,"Powell, Joe",ACT,--,--,--,--,BUF
DB,45,"Powell, Tyvis",ACT,3,0,0,--,IND
DB,26,"Powers, Jerraud",UFA,33,1,0,2,BAL
FS,21,"Poyer, Jordan",ACT,39,0,0,--,BUF
CB,24,"Price, Jabari",ACT,--,--,--,--,MIN
CB,27,"Price, Sheldon",ACT,0,--,--,--,BAL
DB,46,"Pringle, Raysean",ACT,--,--,--,--,GB
SS,31,"Prosinski, Chris",ACT,25,0,0,--,CHI
DB,25,"Pryor, Calvin",ACT,62,0,1,--,CLE
FS,27,"Quin, Glover",ACT,68,0,1,2,DET
FS,30,"Rambo, Bacarri",UFA,42,0,0,1,MIA
CB,20,"Ramsey, Jalen",ACT,65,0,1,2,JAX
CB,23,"Randall, Damarious",ACT,39,0,0,3,GB
CB,27,"Reaser, Keith",ACT,26,0,2,--,SF
CB,23,"Redmond, Will",ACT,--,--,--,--,SF
DB,24,"Reed, Kalan",ACT,3,0,0,--,TEN
CB,38,"Reed, Trovon",ACT,14,0,0,2,LAC
FS,35,"Reid, Eric",ACT,62,0,1,1,SF
DB,35,"Reid, Ryan",ACT,--,--,--,--,LAC
CB,24,"Revis, Darrelle",UFA,53,0,0,1,NYJ
FS,39,"Reynolds, Ed",ACT,43,1,0,--,CLE
CB,43,"Reynolds, Rashaad",ACT,--,--,--,--,CHI
DB,38,"Reynolds, Taylor",ACT,--,--,--,--,ATL
CB,29,"Rhodes, Xavier",ACT,52,0,1,5,MIN
SAF,22,"Rice, Denzel",ACT,9,0,0,--,HOU
DB,39,"Richards, Jeff",ACT,--,--,--,--,CAR
SS,37,"Richards, Jordan",ACT,3,0,0,--,NE
CB,38,"Richardson, Horace",ACT,--,--,--,--,MIN
CB,31,"Riggs, Cody",ACT,0,--,--,--,TB
